original_title,year,genre,duration,country,language_1,director,writer,actors,actors_1,actors_f2,description,desc35,avg_vote,votes,budget,usa_gross_income,USA Profit
Concussion,2015,"Biography, Drama, Sport",123,"UK, Australia, USA",English,Peter Landesman,"Peter Landesman, Jeanne Marie Laskas","Will Smith, Alec Baldwin, Albert Brooks, Gugu Mbatha-Raw, David Morse, Arliss Howard, Mike O'Malley, Eddie Marsan, Hill Harper, Adewale Akinnuoye-Agbaje, Stephen Moyer, Richard T. Jones, Paul Reiser, Luke Wilson, Sara Lindsey",Will Smith,"Will Smith, Alec Baldwin","In Pittsburgh, accomplished pathologist Dr. Bennet Omalu uncovers the truth about brain damage in football players who suffer repeated concussions in the course of normal play.","In Pittsburgh, accomplished pathologist",7.1,84587,35000000,34542474,-457526
Annabelle,2014,"Horror, Mystery, Thriller",99,USA,English,John R. Leonetti,Gary Dauberman,"Annabelle Wallis, Ward Horton, Tony Amendola, Alfre Woodard, Kerry O'Malley, Brian Howe, Eric Ladin, Ivar Brogger, Geoff Wehner, Gabriel Bateman, Shiloh Nelson, Sasha Sheldon, Camden Singer, Robin Pearson Rose, Keira Daniels",Annabelle Wallis,"Annabelle Wallis, Ward Horton",A couple begins to experience terrifying supernatural occurrences involving a vintage doll shortly after their home is invaded by satanic cultists.,A couple begins to experience,5.4,137122,6500000,84273813,77773813
Pan,2015,"Adventure, Comedy, Family",111,"USA, UK, Australia",English,Joe Wright,"Jason Fuchs, J.M. Barrie","Hugh Jackman, Levi Miller, Garrett Hedlund, Rooney Mara, Adeel Akhtar, Nonso Anozie, Amanda Seyfried, Kathy Burke, Lewis MacDougall, Cara Delevingne, Tae-joo Na, Jack Charles, Bronson Webb, Mike Shepherd, Brian Bovell",Hugh Jackman,"Hugh Jackman, Levi Miller","Twelve-year-old orphan Peter is spirited away to the magical world of Neverland, where he finds both fun and danger, and ultimately discovers his destiny -- to become the hero who will be for ever known as Peter Pan.",Twelve-year-old orphan Peter is,5.7,59211,150000000,35088320,-114911680
Jigsaw,2017,"Horror, Mystery",92,"Canada, USA",English,"Michael Spierig, Peter Spierig","Josh Stolberg, Pete Goldfinger","Matt Passmore, Tobin Bell, Callum Keith Rennie, Hannah Emily Anderson, Clé Bennett, Laura Vandervoort, Paul Braunstein, Mandela Van Peebles, Brittany Allen, Josiah Black, Edward Ruttle, Michael Boisvert, Sam Koules, Troy Feldman, Shaquan Lewis",Matt Passmore,"Matt Passmore, Tobin Bell","Bodies are turning up around the city, each having met a uniquely gruesome demise. As the investigation proceeds, evidence points to one suspect: John Kramer, the man known as Jigsaw, who has been dead for over 10 years.",Bodies are turning up around the,5.8,66035,10000000,38052832,28052832
Tolkien,2019,"Biography, Drama, Romance",112,USA,English,Dome Karukoski,"David Gleeson, Stephen Beresford","Nicholas Hoult, Al Bollands, Kallum Tolkien, Craig Roberts, Harry Gilby, Colm Meaney, Laura Donnelly, Guillermo Bedward, Nia Gwynne, Pam Ferris, Adrian Schiller, Albie Marber, Ty Tennant, Adam Bregman, Tony Nash",Nicholas Hoult,"Nicholas Hoult, Al Bollands",The formative years of the orphaned author,The formative years of the orphaned,6.8,30026,20000000,4535154,-15464846
Max,2015,"Adventure, Drama, Family",111,USA,English,Boaz Yakin,"Boaz Yakin, Sheldon Lettich","Thomas Haden Church, Josh Wiggins, Luke Kleintank, Lauren Graham, Robbie Amell, Mia Xitlali, Dejon LaQuake, Jay Hernandez, Owen Harn, Joseph Julian Soria, Raymond W. Beal, Edgar Arreola, Jason Davis, Pete Burris, Miles Mussenden",Thomas Haden Church,Thomas Haden Church,A military dog that helped American Marines in Afghanistan returns to the United States and is adopted by his handler's family after suffering a traumatic experience.,A military dog that helped American,6.7,25357,20000000,42656255,22656255
Transformers: The Last Knight,2017,"Action, Adventure, Sci-Fi",154,"USA, China, Canada",English,Michael Bay,"Art Marcum, Matt Holloway","Mark Wahlberg, Anthony Hopkins, Josh Duhamel, Laura Haddock, Santiago Cabrera, Isabela Merced, Jerrod Carmichael, Stanley Tucci, Liam Garrigan, Martin McCreadie, Rob Witcomb, Marcus Fraser, John Hollingworth, Daniel Adegboyega, Trent Seven",Mark Wahlberg,"Mark Wahlberg, Anthony Hopkins","A deadly threat from Earth's history reappears and a hunt for a lost artifact takes place between Autobots and Decepticons, while Optimus Prime encounters his creator in space.",A deadly threat from Earth's history,5.2,132180,217000000,130168683,-86831317
Grimsby,2016,"Action, Adventure, Comedy",83,"UK, USA",English,Louis Leterrier,"Sacha Baron Cohen, Phil Johnston","Sacha Baron Cohen, Rebel Wilson, Freddie Crowder, Jon-Jon Lockwood, Shaun Thomas, Claudia Adshead, Mark Strong, Lex Shrapnel, Isla Fisher, David James, Rory Keenan, Tamsin Egerton, Johnny Vegas, Ricky Tomlinson, David Harewood",Sacha Baron Cohen,"Sacha Baron Cohen, Rebel Wilson",A new assignment forces a top spy to team up with his football hooligan brother.,A new assignment forces a top,6.2,89563,35000000,6874837,-28125163
X-Men: Apocalypse,2016,"Action, Adventure, Sci-Fi",144,USA,English,Bryan Singer,"Simon Kinberg, Bryan Singer","James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult, Oscar Isaac, Rose Byrne, Evan Peters, Josh Helman, Sophie Turner, Tye Sheridan, Lucas Till, Kodi Smit-McPhee, Ben Hardy, Alexandra Shipp, Lana Condor",James McAvoy,"James McAvoy, Michael Fassbender","In the 1980s the X-Men must defeat an ancient all-powerful mutant, En Sabah Nur, who intends to thrive through bringing destruction to the world.",In the 1980s the X-Men must defeat,6.9,384887,178000000,155442489,-22557511
Stan & Ollie,2018,"Biography, Comedy, Drama",98,"UK, Canada, USA",English,Jon S. Baird,"Jeff Pope, 'A.J.' Marriot","Steve Coogan, John C. Reilly, Shirley Henderson, Nina Arianda, Rufus Jones, Danny Huston, Joseph Balderrama, John Henshaw, Tapiwa Mugweni, Keith MacPherson, Stewart Alexander, Kevin Millington, Toby Sedgwick, Rebecca Yeo, Stephanie Hyam",Steve Coogan,"Steve Coogan, John C. Reilly","Laurel and Hardy, the world's most famous comedy duo, attempt to reignite their film careers as they embark on what becomes their swan song - a grueling theatre tour of post-war Britain.","Laurel and Hardy, the world's",7.2,30317,10000000,5470235,-4529765
Scary Stories to Tell in the Dark,2019,"Adventure, Horror, Mystery",108,"USA, Canada, Hong Kong",English,André Øvredal,"Dan Hageman, Kevin Hageman","Zoe Margaret Colletti, Michael Garza, Gabriel Rush, Austin Abrams, Dean Norris, Gil Bellows, Austin Zajur, Natalie Ganzhorn, Lorraine Toussaint, Kathleen Pollard, Deborah Pollitt, Victoria Fodor, Marie Ward, Mark Steger, Javier Botet",Zoe Margaret Colletti,Zoe Margaret Colletti,"On Halloween 1968, Stella and her two friends meet a mysterious drifter, Ramón, and uncover a sinister notebook of stories.","On Halloween 1968, Stella and",6.2,54953,25000000,68947075,43947075
The Forest,2016,"Horror, Mystery, Thriller",93,USA,English,Jason Zada,"Nick Antosca, Sarah Cornwell","Natalie Dormer, Eoin Macken, Stephanie Vogt, Osamu Tanpopo, Yasuo Tobishima, Ibuki Kaneda, Akiko Iwase, Kikuo Ichikawa, Noriko Sakura, Jozef Aoki, Yûho Yamashita, Taylor Kinney, Gen Seto, Terry Diab, Nadja Mazalica",Natalie Dormer,"Natalie Dormer, Eoin Macken","A woman goes into Japan's Suicide Forest to find her twin sister, and confronts supernatural terror.",A woman goes into Japan's Suicide,4.8,39323,10000000,26594261,16594261
Jack Reacher: Never Go Back,2016,"Action, Thriller",118,"China, USA",English,Edward Zwick,"Richard Wenk, Edward Zwick","Tom Cruise, Cobie Smulders, Aldis Hodge, Danika Yarosh, Patrick Heusinger, Holt McCallany, Robert Knepper, Judd Lormand, Christopher Berry, Hunter Burke, Jason Douglas, Lizeth Hutchings, Marisela Zumbado, Alexandra Lucchesi, Madalyn Horcher",Tom Cruise,"Tom Cruise, Cobie Smulders",Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name while on the run as a fugitive from the law.,Jack Reacher must uncover the,6.1,134242,60000000,58697076,-1302924
Sicario,2015,"Action, Crime, Drama",121,"USA, Mexico, Hong Kong",English,Denis Villeneuve,Taylor Sheridan,"Emily Blunt, Benicio Del Toro, Josh Brolin, Victor Garber, Jon Bernthal, Daniel Kaluuya, Jeffrey Donovan, Raoul Max Trujillo, Julio Cesar Cedillo, Hank Rogerson, Bernardo Saracino, Maximiliano Hernández, Kevin Wiggins, Edgar Arreola, Kim Larrichio",Emily Blunt,"Emily Blunt, Benicio Del Toro",An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,An idealistic FBI agent is enlisted,7.6,360616,30000000,46889293,16889293
Fist Fight,2017,Comedy,91,USA,English,Richie Keen,"Van Robichaux, Evan Susser","Charlie Day, Ice Cube, Tracy Morgan, Jillian Bell, Dean Norris, Christina Hendricks, Kumail Nanjiani, Dennis Haysbert, JoAnna Garcia Swisher, Alexa Nisenson, Stephnie Weir, Kym Whitley, Austin Zajur, Gordon Danniels, Bill Kottkamp",Charlie Day,"Charlie Day, Ice Cube","When one school teacher unwittingly causes another teacher's dismissal, he is challenged to an after-school fight.",When one school teacher unwittingly,5.6,38840,22000000,32187017,10187017
Murder on the Orient Express,2017,"Crime, Drama, Mystery",114,"Malta, USA",English,Kenneth Branagh,"Michael Green, Agatha Christie","Paapa Essiedu, Yassine Zeroual, Asan N'Jie, Michael Rouse, Kenneth Branagh, Elliot Levey, David Annen, Joseph Long, Andy Apollo, Hadley Fraser, Daisy Ridley, Leslie Odom Jr., Ziad Abaza, Nari Blair-Mangat, Luke Brady",Paapa Essiedu,"Paapa Essiedu, Yassine Zeroual","When a murder occurs on the train on which he's travelling, celebrated detective Hercule Poirot is recruited to solve the case.",When a murder occurs on the train,6.5,203262,55000000,102826543,47826543
Allegiant,2016,"Action, Adventure, Mystery",120,USA,English,Robert Schwentke,"Noah Oppenheim, Adam Cooper","Shailene Woodley, Theo James, Naomi Watts, Octavia Spencer, Jeff Daniels, Zoë Kravitz, Ansel Elgort, Miles Teller, Keiynan Lonsdale, Daniel Dae Kim, Maggie Q, Bill Skarsgård, Jonny Weston, Nadia Hilker, Andy Bean",Shailene Woodley,"Shailene Woodley, Theo James","After the earth-shattering revelations of Insurgent, Tris must escape with Four beyond the wall that encircles Chicago, to finally discover the shocking truth of the world around them.",After the earth-shattering revelations,5.7,105498,110000000,66184051,-43815949
Ferdinand,2017,"Animation, Adventure, Comedy",108,"USA, Spain",English,Carlos Saldanha,"Robert L. Baird, Tim Federle","Jack Gore, Jet Jurgensmeyer, Nile Diaz, Colin H. Murphy, Carlos Saldanha, Jeremy Sisto, Bobby Cannavale, Raúl Esparza, Luis Carlos de La Lombana, Juanes, Jerrod Carmichael, Julia Scarpa Saldanha, John Cena, Lily Day, Rafael Scarpa Saldanha",Jack Gore,"Jack Gore, Jet Jurgensmeyer","After Ferdinand, a bull with a big heart, is mistaken for a dangerous beast, he is captured and torn from his home. Determined to return to his family, he rallies a misfit team on the ultimate adventure.","After Ferdinand, a bull with a",6.7,46400,111000000,84410380,-26589620
A Monster Calls,2016,"Adventure, Drama, Family",108,"UK, Spain, USA",English,J.A. Bayona,"Patrick Ness, Patrick Ness","Lewis MacDougall, Sigourney Weaver, Felicity Jones, Toby Kebbell, Ben Moor, James Melville, Oliver Steer, Dominic Boyle, Jennifer Lim, Max Gabbay, Morgan Symes, Max Golds, Frida Palsson, Wanda Opalinska, Patrick Taggart",Lewis MacDougall,"Lewis MacDougall, Sigourney Weaver",A boy seeks the help of a tree monster to cope with his single mother's terminal illness.,A boy seeks the help of a tree,7.5,78648,43000000,3740823,-39259177
Ice Age: Collision Course,2016,"Animation, Adventure, Comedy",94,USA,English,"Mike Thurmeier, Galen T. Chu","Michael J. Wilson, Michael Berg","Stephanie Beatriz, Robert Cardone, Neil deGrasse Tyson, Adam Devine, Jesse Tyler Ferguson, Max Greenfield, Jessie J, Queen Latifah, Denis Leary, John Leguizamo, Jennifer Lopez, Jorge Lucas, Andrew Christopher Nichols, Nick Offerman, Keke Palmer",Stephanie Beatriz,"Stephanie Beatriz, Robert Cardone","When Scrat's acorn sends an asteroid to Earth, the Herd must find a way to stop the asteroid from hitting Earth with the help of a returning friend.",When Scrat's acorn sends an asteroid,5.7,54946,105000000,64063008,-40936992
Cake,2014,Drama,102,USA,English,Daniel Barnz,Patrick Tobin,"Jennifer Aniston, Adriana Barraza, Anna Kendrick, Sam Worthington, Mamie Gummer, Felicity Huffman, William H. Macy, Chris Messina, Lucy Punch, Britt Robertson, Paula Cale, Ashley Crow, Manuel Garcia-Rulfo, Camille Guaty, Allen Maldonado",Jennifer Aniston,"Jennifer Aniston, Adriana Barraza","The acerbic, hilarious Claire Bennett becomes fascinated by the suicide of a woman in her chronic pain support group. As she uncovers the details of Nina's suicide and develops a poignant relationship with Nina's husband, she also grapples with her own, very raw personal tragedy.","The acerbic, hilarious Claire",6.4,34806,7000000,1951776,-5048224
Paul Blart: Mall Cop 2,2015,"Action, Comedy, Crime",94,USA,English,Andy Fickman,"Kevin James, Nick Bakay","Kevin James, Raini Rodriguez, Neal McDonough, Daniella Alonso, Eduardo Verástegui, David Henrie, Shirley Knight, Gary Valentine, Ana Gasteyer, Nicholas Turturro, Loni Love, Shelly Desai, Vic Dibitetto, D.B. Woodside, Bas Rutten",Kevin James,"Kevin James, Raini Rodriguez","After six years of keeping our malls safe, Paul Blart has earned a well-deserved vacation. He heads to Las Vegas with his teenage daughter before she heads off to college. But safety never takes a holiday and when duty calls, Blart answers.",After six years of keeping our,4.4,33463,30000000,71038190,41038190
The Sea of Trees,2015,"Drama, Fantasy, Mystery",110,USA,English,Gus Van Sant,Chris Sparling,"Matthew McConaughey, Ryoko Seta, Sienna Tow, Naoko Marshall, Michiko Tomura, Yusuke Tozawa, Abe Lee Tsunenori, Ken Watanabe, Joe Girard, Jazmin Domenech, Luke DeWolfe, Naomi Watts, Katie Aselton, Nada Despotovich, Christopher Tarjan",Matthew McConaughey,Matthew McConaughey,A suicidal American befriends a Japanese man lost in a forest near Mt. Fuji and the two search for a way out.,A suicidal American befriends,6.1,13041,25000000,20444,-24979556
War for the Planet of the Apes,2017,"Action, Adventure, Drama",140,"USA, Canada, New Zealand",English,Matt Reeves,"Mark Bomback, Matt Reeves","Andy Serkis, Woody Harrelson, Steve Zahn, Karin Konoval, Amiah Miller, Terry Notary, Ty Olsson, Michael Adamthwaite, Toby Kebbell, Gabriel Chavarria, Judy Greer, Sara Canning, Devyn Dalton, Aleks Paunovic, Alessandro Juliani",Andy Serkis,"Andy Serkis, Woody Harrelson","After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind.",After the apes suffer unimaginable,7.4,222173,150000000,146880162,-3119838
The Hateful Eight,2015,"Crime, Drama, Mystery",168,USA,English,Quentin Tarantino,Quentin Tarantino,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins, Demián Bichir, Tim Roth, Michael Madsen, Bruce Dern, James Parks, Dana Gourrier, Zoë Bell, Lee Horsley, Gene Jones, Keith Jefferson, Craig Stark",Samuel L. Jackson,"Samuel L. Jackson, Kurt Russell","In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.","In the dead of a Wyoming winter,",7.8,499070,44000000,54117416,10117416
Unforgettable,2017,"Drama, Thriller",100,USA,English,Denise Di Novi,Christina Hodson,"Rosario Dawson, Katherine Heigl, Geoff Stults, Isabella Kai, Alex Quijano, Sarah Burns, Whitney Cummings, Simon Kassianides, Robert Wisdom, Cheryl Ladd, Stephanie Escajeda, Kincaid Walker, Aline Elasmar, Jayson Blair, Lauren Rose Lewis",Rosario Dawson,"Rosario Dawson, Katherine Heigl",A woman sets out to make life a living hell for her ex-husband's new fiancée.,A woman sets out to make life,5.1,13561,12000000,11368012,-631988
Despicable Me 3,2017,"Animation, Adventure, Comedy",89,USA,English,"Kyle Balda, Pierre Coffin","Cinco Paul, Ken Daurio","Steve Carell, Kristen Wiig, Trey Parker, Miranda Cosgrove, Dana Gaier, Nev Scharrel, Pierre Coffin, Steve Coogan, Julie Andrews, Jenny Slate, Michael Beattie, Andy Nyman, Adrian Ciscato, Brian T. Delaney, Katia Saponenko",Steve Carell,"Steve Carell, Kristen Wiig","Gru meets his long-lost, charming, cheerful, and more successful twin brother Dru, who wants to team up with him for one last criminal heist.","Gru meets his long-lost, charming,",6.3,108791,80000000,264624300,184624300
Sing,2016,"Animation, Comedy, Family",108,"Japan, USA",English,Garth Jennings,Garth Jennings,"Matthew McConaughey, Reese Witherspoon, Seth MacFarlane, Scarlett Johansson, John C. Reilly, Taron Egerton, Tori Kelly, Jennifer Saunders, Jennifer Hudson, Garth Jennings, Peter Serafinowicz, Nick Kroll, Beck Bennett, Jay Pharoah, Nick Offerman",Matthew McConaughey,Matthew McConaughey,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.","In a city of humanoid animals,",7.1,129577,75000000,270395425,195395425
The Walk,2015,"Adventure, Biography, Drama",123,USA,English,Robert Zemeckis,"Robert Zemeckis, Christopher Browne","Joseph Gordon-Levitt, Guillaume Baillargeon, Émilie Leclerc, Mark Trafford, Inka Malovic, Lucas Ramacière, Martin Lefebvre, Philippe Bertrand, Laurence Deschênes, Patricia Tulasne, Jean-Robert Bourdage, Sylvie Lemay, Sasha Dominique, Soleyman Pierini, Jade Kindar-Martin",Joseph Gordon-Levitt,Joseph Gordon-Levitt,"In 1974, high-wire artist Philippe Petit recruits a team of people to help him realize his dream: to walk the immense void between the World Trade Center towers.","In 1974, high-wire artist Philippe",7.3,117458,35000000,10137502,-24862498
